Fiction,The Hobbit,R.R. Tolkin,1937,19.65
Fiction,Crimen y castigo,Fyodor Dostoevsky,1866,23.57
Fiction,Dune,Frank Herbert,1965,15.48
Fiction,A Gentleman in Moscow,Amor Towles,2016,19.75
Fiction,1984,George Orwell,1949,19.23
Mystery,Before I go to Sleep,S.J. Watson,2011,16.66
Mystery,Blindsighted,Karin Slaughter,2001,18
Mystery,An Unsuitable Job for a Woman,P.D. James,1972,15.67
Novel,Levantado do Chae,Jose Saramago,1980,15.22
Novel,Our Mutual Friend,Charles Dickerson,1865,11.23
Novel,The Trial,Frank Kafka,1925,16.33
Novel,Lolita,Vladimir Nabokov,1955,16.54
Young_Adult,The Selection,Kira Cass,2012,10.23
Science_Fiction,Ender's Game,Orson Scott,1985,36.22
Science_Fiction,Starship Troopers,Robert A. Heinlein,1959,15.48
Science_Fiction,The Man in the High Castle,Phillip K. Dick,1962,13.87
